orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0.02734375;-0.2910156;-0.9472656;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0234375;-0.2910156;-0.9355468;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.01757813;-0.296875;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.00390625;-0.2929687;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.2949218;-0.9414062;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.2929687;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.2929687;-0.9394531;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.005859375;-0.296875;-0.9472656;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0;-0.2949218;-0.9355468;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.296875;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.296875;-0.9414062;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.0078125;-0.3007813;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.009765625;-0.3046875;-0.9453124;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.00390625;-0.2949218;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;-0.005859375;-0.3027344;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.00390625;-0.3027344;-0.9374999;0;;;;;;;;;;;;;GS_SEED;;;;;;
FaceUp;0.001953125;-0.3085938;-0.9433593;0;;;;;;;;;;;;;GS_SEED;;;;;;
