2,3,5,30-11-2016,23:56:49.4779257
2,5,4,1-12-2016,00:04:44.8461152
5,1,2,1-12-2016,00:33:24.7554884
4,2,1,1-12-2016,00:33:50.3469521
3,4,5,1-12-2016,00:34:36.8706131
5,4,4,1-12-2016,00:37:45.6764122
5,4,5,1-12-2016,00:47:34.0670662
3,5,4,1-12-2016,00:47:51.7640784
4,5,4,1-12-2016,00:48:19.4106597
5,4,5,1-12-2016,00:49:52.1889663
5,5,4,1-12-2016,00:50:06.4657829
5,4,3,1-12-2016,12:04:35.5751535
3,4,5,1-12-2016,12:05:17.3685440
2,3,4,1-12-2016,14:00:42.0057539
3,2,4,1-12-2016,14:23:35.9375053
5,4,3,1-12-2016,16:00:55.4818057
4,3,2,1-12-2016,16:09:40.2458205
4,4,3,1-12-2016,16:12:06.3531774
4,3,2,1-12-2016,16:14:34.0686262
4,3,2,1-12-2016,16:17:21.3691953
3,4,2,1-12-2016,16:37:35.9276640
3,2,4,1-12-2016,16:43:56.3634237
3,4,4,1-12-2016,16:55:49.0591876
3,2,4,1-12-2016,16:57:28.3658676
3,4,5,1-12-2016,16:59:58.6334624
3,4,5,1-12-2016,17:00:31.9333671
3,4,2,1-12-2016,17:00:50.7454430
4,3,3,1-12-2016,17:01:26.9125117
3,4,4,1-12-2016,17:31:22.1941959
3,2,3,1-12-2016,17:47:23.4371759
3,4,2,1-12-2016,17:49:02.1008191
3,4,3,1-12-2016,17:54:46.6665271
4,4,4,1-12-2016,17:56:20.7259070
3,2,3,1-12-2016,17:59:29.9797317
3,4,3,1-12-2016,18:00:28.7930957
3,4,3,1-12-2016,18:01:19.2899839
3,4,5,1-12-2016,18:02:41.4986860
3,4,5,1-12-2016,18:07:25.5869349
3,4,5,1-12-2016,18:08:40.9092431
3,4,4,1-12-2016,18:15:06.5032978
3,4,5,1-12-2016,18:15:43.2824015
3,4,5,1-12-2016,18:16:45.7539746
3,4,5,1-12-2016,18:17:11.3984414
4,3,2,1-12-2016,18:18:30.6939769
5,4,3,1-12-2016,19:05:05.2288151
4,3,4,1-12-2016,19:05:54.1916156
4,3,4,1-12-2016,19:06:49.3287693
4,4,3,1-12-2016,20:06:41.0183799
4,3,2,1-12-2016,20:08:11.1645360
3,4,5,1-12-2016,20:11:31.8950171
5,4,3,1-12-2016,20:13:43.9795719
4,3,2,1-12-2016,20:15:08.2413914
3,4,5,1-12-2016,20:18:02.1303373
3,4,5,1-12-2016,20:50:23.0543518
3,4,5,1-12-2016,20:51:54.9126058
3,4,5,1-12-2016,20:56:54.2057244
4,4,5,1-12-2016,20:58:28.3781107
4,3,4,1-12-2016,21:08:09.8573694
3,5,5,1-12-2016,21:09:41.9996397
2,3,4,1-12-2016,21:12:13.7973220
4,3,2,1-12-2016,21:16:03.3504517
4,3,4,1-12-2016,21:22:58.4941966
5,4,3,1-12-2016,21:25:09.6676993
4,5,4,1-12-2016,21:31:31.3125281
4,3,2,1-12-2016,22:30:11.9478969
3,2,3,1-12-2016,22:34:25.7214119
4,3,2,1-12-2016,22:34:47.3526492
2,3,4,1-12-2016,23:46:02.7811897
5,4,4,1-12-2016,23:49:27.9989275
5,4,3,1-12-2016,23:50:52.1047380
5,2,5,2-12-2016,02:07:41.6332962
4,3,3,2-12-2016,02:17:41.2425919
2,3,3,2-12-2016,02:22:10.9200166
4,3,2,2-12-2016,02:44:21.2561075
4,4,4,2-12-2016,02:45:06.3266853
4,3,4,2-12-2016,02:49:27.2866114
2,3,4,2-12-2016,02:50:53.7655577
4,3,3,2-12-2016,02:58:35.4409640
4,3,2,2-12-2016,03:05:57.3932423
4,3,2,2-12-2016,03:11:03.3867441
4,5,2,2-12-2016,03:17:02.9023072
5,4,2,2-12-2016,03:17:36.5602323
5,4,3,2-12-2016,03:17:55.7333290
3,2,3,2-12-2016,03:18:25.3820248
2,4,5,2-12-2016,03:18:58.0558936
3,4,5,2-12-2016,03:19:33.8239394
3,4,5,2-12-2016,03:19:58.5583541
3,2,3,2-12-2016,03:20:49.8132858
2,4,3,2-12-2016,03:21:21.9341230
3,4,3,2-12-2016,03:23:59.4381317
3,4,5,2-12-2016,03:32:28.0442223
5,5,5,2-12-2016,03:33:02.9102165
3,4,4,2-12-2016,03:33:36.6981491
3,4,5,2-12-2016,03:35:22.3601926
5,4,5,2-12-2016,03:35:57.7272155
4,3,2,2-12-2016,03:36:53.8164236
5,5,5,2-12-2016,03:37:28.2363923
5,5,5,2-12-2016,03:41:47.7312346
2,4,4,2-12-2016,03:42:30.2036638
3,4,5,2-12-2016,03:43:09.5509144
4,3,4,2-12-2016,03:43:43.8018734
2,1,3,2-12-2016,03:47:35.0821019
2,5,1,2-12-2016,03:50:43.2218629
3,3,3,2-12-2016,03:53:39.0789213
3,3,3,2-12-2016,04:06:35.1373093
3,4,5,2-12-2016,04:08:58.1764907
2,3,4,2-12-2016,04:13:55.1094743
4,4,3,2-12-2016,04:20:33.4522582
4,5,4,2-12-2016,04:21:42.2911956
2,3,4,2-12-2016,04:25:48.1842598
3,3,3,2-12-2016,04:31:04.3683445
2,3,4,2-12-2016,04:36:46.6959245
4,3,4,2-12-2016,04:37:31.1164653
3,3,3,2-12-2016,04:38:03.2193014
3,2,4,2-12-2016,04:39:12.3262541
3,3,3,2-12-2016,04:40:28.1915934
3,4,5,2-12-2016,04:41:07.4708400
4,3,1,2-12-2016,04:42:03.8830666
3,4,5,2-12-2016,04:42:45.7574617
3,4,4,2-12-2016,04:43:19.2893796
2,3,4,2-12-2016,04:43:57.1995479
3,4,5,2-12-2016,04:44:58.9510799
4,1,1,2-12-2016,04:46:01.8906799
5,5,1,2-12-2016,04:49:06.6772491
3,4,5,2-12-2016,04:49:46.6025326
5,5,5,2-12-2016,04:50:48.3730657
5,5,5,2-12-2016,04:52:39.6514305
3,2,3,2-12-2016,04:53:12.3543010
5,5,5,2-12-2016,05:00:35.4996474
3,4,3,2-12-2016,05:01:08.7035466
